scenario,episode,method,delay_steps,trace_quality,proxy_conflict,localization_error,counterfactual_precision,success_lift,reward_dependence
visible_effect,13,dense_shaping,8,0.8269,0.3072,2.3611,0.4746,0.128,0.55
visible_effect,13,effect_trace,8,0.8269,0.3072,0.8094,0.8902,0.3313,0.0
visible_effect,14,delayed_reward_td,4,0.9283,0.02,2.7095,0.404,0.0726,1.0
visible_effect,14,dense_shaping,4,0.9283,0.02,1.3458,0.6103,0.1944,0.55
visible_effect,14,effect_trace,4,0.9283,0.02,0.4545,0.9324,0.3333,0.0
visible_effect,15,delayed_reward_td,10,0.7082,0.2505,4.5048,0.3085,0.024,1.0
visible_effect,15,dense_shaping,10,0.7082,0.2505,2.7639,0.4653,0.1603,0.55
visible_effect,15,effect_trace,10,0.7082,0.2505,0.9565,0.8721,0.2819,0.0
visible_effect,16,delayed_reward_td,8,0.8856,0.3248,3.8361,0.4198,0.0073,1.0
visible_effect,16,dense_shaping,8,0.8856,0.3248,2.3787,0.4961,0.1312,0.55
visible_effect,16,effect_trace,8,0.8856,0.3248,0.7924,0.8938,0.3158,0.0
visible_effect,17,delayed_reward_td,10,0.8264,0.2478,4.4145,0.3874,-0.0131,1.0
visible_effect,17,dense_shaping,10,0.8264,0.2478,2.7309,0.4511,0.1349,0.55
visible_effect,17,effect_trace,10,0.8264,0.2478,0.9403,0.8672,0.3258,0.0
visible_effect,18,delayed_reward_td,4,0.8186,0.1001,2.6086,0.4449,0.0764,1.0
visible_effect,18,dense_shaping,4,0.8186,0.1001,1.4104,0.5897,0.1812,0.55
visible_effect,18,effect_trace,4,0.8186,0.1001,0.4965,0.9272,0.3315,0.0
visible_effect,19,delayed_reward_td,10,0.98,0.1532,4.4337,0.3434,0.028,1.0
visible_effect,19,dense_shaping,10,0.98,0.1532,2.6142,0.5574,0.1756,0.55
visible_effect,19,effect_trace,10,0.98,0.1532,0.8479,0.9343,0.3143,0.0
visible_effect,20,delayed_reward_td,5,0.8591,0.1462,2.9005,0.3931,0.0898,1.0
visible_effect,20,dense_shaping,5,0.8591,0.1462,1.7271,0.5078,0.1422,0.55
visible_effect,20,effect_trace,5,0.8591,0.1462,0.5976,0.9052,0.339,0.0
visible_effect,21,delayed_reward_td,7,0.98,0.1904,3.3948,0.3779,0.0707,1.0
visible_effect,21,dense_shaping,7,0.98,0.1904,2.0795,0.5121,0.1422,0.55
visible_effect,21,effect_trace,7,0.98,0.1904,0.6933,0.9299,0.339,0.0
visible_effect,22,delayed_reward_td,6,0.98,0.3135,3.1633,0.4183,0.0391,1.0
visible_effect,22,dense_shaping,6,0.98,0.3135,2.0641,0.5001,0.1557,0.55
visible_effect,22,effect_trace,6,0.98,0.3135,0.6348,0.9181,0.3311,0.0
visible_effect,23,delayed_reward_td,6,0.7673,0.02,3.2605,0.3784,0.0689,1.0
visible_effect,23,dense_shaping,6,0.7673,0.02,1.8063,0.5724,0.1767,0.55
visible_effect,23,effect_trace,6,0.7673,0.02,0.7278,0.9161,0.3148,0.0
visible_effect,24,delayed_reward_td,7,0.8172,0.2418,3.6226,0.3596,0.0629,1.0
visible_effect,24,dense_shaping,7,0.8172,0.2418,2.2383,0.4935,0.1551,0.55
visible_effect,24,effect_trace,7,0.8172,0.2418,0.6929,0.9016,0.3031,0.0
visible_effect,25,delayed_reward_td,11,0.9595,0.3581,4.7622,0.3369,-0.0174,1.0
visible_effect,25,dense_shaping,11,0.9595,0.3581,2.8872,0.4765,0.1133,0.55
visible_effect,25,effect_trace,11,0.9595,0.3581,0.9258,0.8716,0.2965,0.0
visible_effect,26,delayed_reward_td,4,0.9111,0.1697,2.5782,0.4499,0.093,1.0
visible_effect,26,dense_shaping,4,0.9111,0.1697,1.4891,0.5735,0.1738,0.55
visible_effect,26,effect_trace,4,0.9111,0.1697,0.4905,0.9298,0.3396,0.0
visible_effect,27,delayed_reward_td,3,0.7538,0.1511,2.3536,0.428,0.0972,1.0
visible_effect,27,dense_shaping,3,0.7538,0.1511,1.3645,0.5418,0.127,0.55
visible_effect,27,effect_trace,3,0.7538,0.1511,0.6163,0.907,0.3584,0.0
visible_effect,28,delayed_reward_td,6,0.98,0.0258,3.0056,0.3863,0.039,1.0
visible_effect,28,dense_shaping,6,0.98,0.0258,1.7046,0.6226,0.168,0.55
visible_effect,28,effect_trace,6,0.98,0.0258,0.5009,0.922,0.3242,0.0
visible_effect,29,delayed_reward_td,6,0.9003,0.0279,3.0964,0.3979,0.0861,1.0
visible_effect,29,dense_shaping,6,0.9003,0.0279,1.6939,0.5687,0.1587,0.55
visible_effect,29,effect_trace,6,0.9003,0.0279,0.6281,0.9462,0.3602,0.0
visible_effect,30,delayed_reward_td,8,0.8621,0.098,3.8565,0.3367,0.0129,1.0
visible_effect,30,dense_shaping,8,0.8621,0.098,2.1543,0.5715,0.1591,0.55
visible_effect,30,effect_trace,8,0.8621,0.098,0.8004,0.8862,0.3125,0.0
visible_effect,31,delayed_reward_td,6,0.794,0.216,3.2891,0.3798,0.0687,1.0
visible_effect,31,dense_shaping,6,0.794,0.216,1.9714,0.4919,0.143,0.55
visible_effect,31,effect_trace,6,0.794,0.216,0.8175,0.9053,0.3161,0.0
visible_effect,32,delayed_reward_td,11,0.8964,0.0482,4.6491,0.3315,0.004,1.0
visible_effect,32,dense_shaping,11,0.8964,0.0482,2.6419,0.5031,0.1229,0.55
visible_effect,32,effect_trace,11,0.8964,0.0482,0.8875,0.8735,0.3136,0.0
visible_effect,33,delayed_reward_td,8,0.9454,0.1053,3.7803,0.3721,0.0632,1.0
visible_effect,33,dense_shaping,8,0.9454,0.1053,2.2154,0.5324,0.1543,0.55
visible_effect,33,effect_trace,8,0.9454,0.1053,0.7885,0.9055,0.3449,0.0
visible_effect,34,delayed_reward_td,7,0.9621,0.2428,3.6045,0.4029,0.0506,1.0
visible_effect,34,dense_shaping,7,0.9621,0.2428,2.1821,0.464,0.1064,0.55
visible_effect,34,effect_trace,7,0.9621,0.2428,0.7091,0.9516,0.3501,0.0
visible_effect,35,delayed_reward_td,2,0.98,0.1585,2.0885,0.4854,0.0762,1.0
visible_effect,35,dense_shaping,2,0.98,0.1585,1.0713,0.6276,0.1819,0.55
visible_effect,35,effect_trace,2,0.98,0.1585,0.4511,0.9448,0.3359,0.0
visible_effect,36,delayed_reward_td,11,0.9767,0.3572,4.7336,0.3679,0.0125,1.0
visible_effect,36,dense_shaping,11,0.9767,0.3572,3.041,0.4856,0.1092,0.55
visible_effect,36,effect_trace,11,0.9767,0.3572,0.8035,0.8977,0.307,0.0
visible_effect,37,delayed_reward_td,12,0.7145,0.0396,4.9914,0.2943,-0.0208,1.0
visible_effect,37,dense_shaping,12,0.7145,0.0396,2.9492,0.4909,0.1163,0.55
visible_effect,37,effect_trace,12,0.7145,0.0396,0.9672,0.8454,0.2999,0.0
visible_effect,38,delayed_reward_td,3,0.756,0.2915,2.3778,0.4221,0.0763,1.0
visible_effect,38,dense_shaping,3,0.756,0.2915,1.529,0.5487,0.1716,0.55
visible_effect,38,effect_trace,3,0.756,0.2915,0.6444,0.8878,0.3187,0.0
visible_effect,39,delayed_reward_td,11,0.743,0.2946,4.8681,0.2277,0.0051,1.0
visible_effect,39,dense_shaping,11,0.743,0.2946,2.9029,0.4292,0.1298,0.55
visible_effect,39,effect_trace,11,0.743,0.2946,1.11,0.8704,0.3052,0.0
visible_effect,40,delayed_reward_td,12,0.8924,0.0862,4.9747,0.272,-0.0383,1.0
visible_effect,40,dense_shaping,12,0.8924,0.0862,2.9757,0.4934,0.122,0.55
visible_effect,40,effect_trace,12,0.8924,0.0862,0.9343,0.9237,0.2912,0.0
visible_effect,41,delayed_reward_td,11,0.7957,0.0912,4.6147,0.2976,0.0169,1.0
visible_effect,41,dense_shaping,11,0.7957,0.0912,2.7758,0.5363,0.1169,0.55
visible_effect,41,effect_trace,11,0.7957,0.0912,0.9497,0.8877,0.3004,0.0
visible_effect,42,delayed_reward_td,4,0.9603,0.1937,2.5433,0.4131,0.0771,1.0
visible_effect,42,dense_shaping,4,0.9603,0.1937,1.4147,0.5337,0.1661,0.55
visible_effect,42,effect_trace,4,0.9603,0.1937,0.5285,0.9208,0.3445,0.0
visible_effect,43,delayed_reward_td,3,0.8311,0.1806,2.3849,0.4621,0.0966,1.0
visible_effect,43,dense_shaping,3,0.8311,0.1806,1.4011,0.5515,0.1623,0.55
visible_effect,43,effect_trace,3,0.8311,0.1806,0.6067,0.8901,0.3212,0.0
visible_effect,44,delayed_reward_td,7,0.7027,0.2546,3.6243,0.363,0.0378,1.0
visible_effect,44,dense_shaping,7,0.7027,0.2546,2.216,0.4736,0.1751,0.55
visible_effect,44,effect_trace,7,0.7027,0.2546,0.8649,0.8579,0.3101,0.0
visible_effect,45,delayed_reward_td,2,0.8807,0.204,1.8891,0.4248,0.1084,1.0
visible_effect,45,dense_shaping,2,0.8807,0.204,1.208,0.5294,0.1712,0.55
visible_effect,45,effect_trace,2,0.8807,0.204,0.6388,0.8899,0.3221,0.0
visible_effect,46,delayed_reward_td,4,0.7984,0.1121,2.5503,0.3674,0.0875,1.0
visible_effect,46,dense_shaping,4,0.7984,0.1121,1.4226,0.5256,0.1871,0.55
visible_effect,46,effect_trace,4,0.7984,0.1121,0.5545,0.9134,0.3464,0.0
visible_effect,47,delayed_reward_td,7,0.8349,0.0523,3.5064,0.3618,0.0429,1.0
visible_effect,47,dense_shaping,7,0.8349,0.0523,1.9629,0.5333,0.1922,0.55
visible_effect,47,effect_trace,7,0.8349,0.0523,0.7667,0.9333,0.3236,0.0
visible_effect,48,delayed_reward_td,12,0.9568,0.1812,5.002,0.3301,-0.0191,1.0
visible_effect,48,dense_shaping,12,0.9568,0.1812,2.9943,0.5152,0.1039,0.55
visible_effect,48,effect_trace,12,0.9568,0.1812,1.1297,0.912,0.3152,0.0
visible_effect,49,delayed_reward_td,2,0.8572,0.082,1.9689,0.4156,0.1054,1.0
visible_effect,49,dense_shaping,2,0.8572,0.082,1.0636,0.5782,0.1825,0.55
visible_effect,49,effect_trace,2,0.8572,0.082,0.4499,0.9105,0.3318,0.0
visible_effect,50,delayed_reward_td,7,0.8461,0.02,3.5223,0.3665,0.1055,1.0
visible_effect,50,dense_shaping,7,0.8461,0.02,1.8288,0.6017,0.1871,0.55
visible_effect,50,effect_trace,7,0.8461,0.02,0.688,0.9355,0.2976,0.0
visible_effect,51,delayed_reward_td,12,0.9222,0.1722,5.0291,0.2926,-0.0163,1.0
visible_effect,51,dense_shaping,12,0.9222,0.1722,3.0995,0.5051,0.1043,0.55
visible_effect,51,effect_trace,12,0.9222,0.1722,1.0324,0.9072,0.3101,0.0
visible_effect,52,delayed_reward_td,8,0.7173,0.0231,3.8911,0.3635,0.0237,1.0
visible_effect,52,dense_shaping,8,0.7173,0.0231,2.1515,0.5686,0.1251,0.55
visible_effect,52,effect_trace,8,0.7173,0.0231,0.8097,0.8672,0.3169,0.0
visible_effect,53,delayed_reward_td,2,0.7981,0.2224,2.1552,0.4466,0.0787,1.0
visible_effect,53,dense_shaping,2,0.7981,0.2224,1.3003,0.5357,0.1984,0.55
visible_effect,53,effect_trace,2,0.7981,0.2224,0.4913,0.935,0.331,0.0
visible_effect,54,delayed_reward_td,9,0.6507,0.2533,4.1445,0.3134,0.0257,1.0
visible_effect,54,dense_shaping,9,0.6507,0.2533,2.5833,0.443,0.1339,0.55
visible_effect,54,effect_trace,9,0.6507,0.2533,0.9564,0.8527,0.2914,0.0
visible_effect,55,delayed_reward_td,4,0.8408,0.169,2.6097,0.3994,0.0922,1.0
visible_effect,55,dense_shaping,4,0.8408,0.169,1.6212,0.5271,0.1702,0.55
visible_effect,55,effect_trace,4,0.8408,0.169,0.5825,0.8857,0.3537,0.0
visible_effect,56,delayed_reward_td,9,0.98,0.1569,4.0486,0.382,0.015,1.0
visible_effect,56,dense_shaping,9,0.98,0.1569,2.3811,0.5306,0.1033,0.55
visible_effect,56,effect_trace,9,0.98,0.1569,0.7936,0.9085,0.3161,0.0
visible_effect,57,delayed_reward_td,10,0.9155,0.2079,4.4068,0.3675,0.0019,1.0
visible_effect,57,dense_shaping,10,0.9155,0.2079,2.6247,0.5116,0.0936,0.55
visible_effect,57,effect_trace,10,0.9155,0.2079,0.8936,0.9414,0.3258,0.0
visible_effect,58,delayed_reward_td,10,0.838,0.1491,4.4402,0.3212,0.0187,1.0
visible_effect,58,dense_shaping,10,0.838,0.1491,2.5252,0.5088,0.1617,0.55
visible_effect,58,effect_trace,10,0.838,0.1491,0.9332,0.8994,0.343,0.0
visible_effect,59,delayed_reward_td,12,0.8812,0.1926,5.0443,0.3261,-0.0379,1.0
visible_effect,59,dense_shaping,12,0.8812,0.1926,2.9255,0.4961,0.1398,0.55
visible_effect,59,effect_trace,12,0.8812,0.1926,1.1297,0.8856,0.3267,0.0
visible_effect,60,delayed_reward_td,2,0.9545,0.0813,2.0523,0.4815,0.1057,1.0
visible_effect,60,dense_shaping,2,0.9545,0.0813,1.1091,0.5803,0.2149,0.55
visible_effect,60,effect_trace,2,0.9545,0.0813,0.36,0.927,0.3406,0.0
visible_effect,61,delayed_reward_td,7,0.8512,0.02,3.533,0.3925,0.0697,1.0
visible_effect,61,dense_shaping,7,0.8512,0.02,1.8666,0.5777,0.104,0.55
visible_effect,61,effect_trace,7,0.8512,0.02,0.6947,0.9135,0.3314,0.0
visible_effect,62,delayed_reward_td,4,0.8605,0.1824,2.62,0.4928,0.0836,1.0
visible_effect,62,dense_shaping,4,0.8605,0.1824,1.5395,0.5633,0.1746,0.55
visible_effect,62,effect_trace,4,0.8605,0.1824,0.5525,0.8874,0.3241,0.0
visible_effect,63,delayed_reward_td,3,0.7372,0.02,2.3008,0.3963,0.0846,1.0
visible_effect,63,dense_shaping,3,0.7372,0.02,1.2209,0.5853,0.1918,0.55
visible_effect,63,effect_trace,3,0.7372,0.02,0.647,0.9047,0.3241,0.0
visible_effect,64,delayed_reward_td,3,0.9201,0.1112,2.228,0.491,0.0768,1.0
visible_effect,64,dense_shaping,3,0.9201,0.1112,1.2153,0.5466,0.1861,0.55
visible_effect,64,effect_trace,3,0.9201,0.1112,0.4312,0.9629,0.3496,0.0
visible_effect,65,delayed_reward_td,12,0.968,0.2597,4.937,0.3014,-0.0106,1.0
visible_effect,65,dense_shaping,12,0.968,0.2597,3.0003,0.4667,0.0808,0.55
visible_effect,65,effect_trace,12,0.968,0.2597,0.9976,0.8861,0.3029,0.0
visible_effect,66,delayed_reward_td,9,0.9724,0.2601,4.1168,0.3356,0.0039,1.0
visible_effect,66,dense_shaping,9,0.9724,0.2601,2.4958,0.5269,0.1434,0.55
visible_effect,66,effect_trace,9,0.9724,0.2601,0.8313,0.9485,0.3298,0.0
visible_effect,67,delayed_reward_td,4,0.7503,0.1597,2.5884,0.4096,0.0507,1.0
visible_effect,67,dense_shaping,4,0.7503,0.1597,1.5747,0.5192,0.2104,0.55
visible_effect,67,effect_trace,4,0.7503,0.1597,0.7238,0.9019,0.2932,0.0
visible_effect,68,delayed_reward_td,7,0.7938,0.0987,3.5266,0.3395,0.0149,1.0
visible_effect,68,dense_shaping,7,0.7938,0.0987,2.0373,0.5055,0.1376,0.55
visible_effect,68,effect_trace,7,0.7938,0.0987,0.7741,0.9047,0.3162,0.0
visible_effect,69,delayed_reward_td,12,0.829,0.1685,5.0522,0.3038,-0.0492,1.0
visible_effect,69,dense_shaping,12,0.829,0.1685,3.1339,0.4678,0.147,0.55
visible_effect,69,effect_trace,12,0.829,0.1685,1.0224,0.8845,0.3035,0.0
visible_effect,70,delayed_reward_td,7,0.8186,0.1276,3.536,0.4149,0.0291,1.0
visible_effect,70,dense_shaping,7,0.8186,0.1276,1.9619,0.4932,0.1336,0.55
visible_effect,70,effect_trace,7,0.8186,0.1276,0.6893,0.8933,0.3323,0.0
visible_effect,71,delayed_reward_td,5,0.8157,0.2359,2.9583,0.4605,0.0452,1.0
visible_effect,71,dense_shaping,5,0.8157,0.2359,1.7691,0.5106,0.1299,0.55
visible_effect,71,effect_trace,5,0.8157,0.2359,0.5867,0.8896,0.2918,0.0
visible_effect,72,delayed_reward_td,2,0.8743,0.2387,2.0816,0.4284,0.0917,1.0
visible_effect,72,dense_shaping,2,0.8743,0.2387,1.3031,0.5416,0.1299,0.55
visible_effect,72,effect_trace,2,0.8743,0.2387,0.5163,0.9271,0.3333,0.0
visible_effect,73,delayed_reward_td,5,0.9632,0.2646,2.967,0.3984,0.0527,1.0
visible_effect,73,dense_shaping,5,0.9632,0.2646,1.8651,0.5317,0.137,0.55
visible_effect,73,effect_trace,5,0.9632,0.2646,0.5135,0.9373,0.3219,0.0
visible_effect,74,delayed_reward_td,2,0.8441,0.0661,1.9963,0.498,0.0678,1.0
visible_effect,74,dense_shaping,2,0.8441,0.0661,1.0233,0.596,0.1847,0.55
visible_effect,74,effect_trace,2,0.8441,0.0661,0.4247,0.9301,0.3418,0.0
visible_effect,75,delayed_reward_td,3,0.7927,0.2986,2.3903,0.4286,0.097,1.0
visible_effect,75,dense_shaping,3,0.7927,0.2986,1.5537,0.46,0.1431,0.55
visible_effect,75,effect_trace,3,0.7927,0.2986,0.6064,0.8475,0.3232,0.0
visible_effect,76,delayed_reward_td,10,0.8836,0.2673,4.4451,0.3346,-0.0077,1.0
visible_effect,76,dense_shaping,10,0.8836,0.2673,2.7566,0.4591,0.1298,0.55
visible_effect,76,effect_trace,10,0.8836,0.2673,0.9891,0.9061,0.3281,0.0
visible_effect,77,delayed_reward_td,6,0.7996,0.1907,3.139,0.3731,0.077,1.0
visible_effect,77,dense_shaping,6,0.7996,0.1907,1.9901,0.4845,0.1416,0.55
visible_effect,77,effect_trace,6,0.7996,0.1907,0.6927,0.8851,0.3108,0.0
visible_effect,78,delayed_reward_td,11,0.98,0.3879,4.7005,0.2871,0.0025,1.0
visible_effect,78,dense_shaping,11,0.98,0.3879,2.834,0.4419,0.1166,0.55
visible_effect,78,effect_trace,11,0.98,0.3879,0.9789,0.913,0.345,0.0
visible_effect,79,delayed_reward_td,12,0.98,0.2503,5.0418,0.2806,-0.032,1.0
visible_effect,79,dense_shaping,12,0.98,0.2503,2.9782,0.4759,0.1339,0.55
visible_effect,79,effect_trace,12,0.98,0.2503,0.9274,0.9479,0.315,0.0
visible_effect,80,delayed_reward_td,10,0.7685,0.2275,4.4414,0.3415,0.0172,1.0
visible_effect,80,dense_shaping,10,0.7685,0.2275,2.7547,0.4839,0.0934,0.55
visible_effect,80,effect_trace,10,0.7685,0.2275,1.0244,0.8783,0.3341,0.0
visible_effect,81,delayed_reward_td,9,0.8625,0.1273,4.1019,0.355,0.0081,1.0
visible_effect,81,dense_shaping,9,0.8625,0.1273,2.383,0.5156,0.1525,0.55
visible_effect,81,effect_trace,9,0.8625,0.1273,0.9542,0.9154,0.3095,0.0
visible_effect,82,delayed_reward_td,2,0.9385,0.2203,1.944,0.4825,0.1242,1.0
visible_effect,82,dense_shaping,2,0.9385,0.2203,1.1998,0.5431,0.1498,0.55
visible_effect,82,effect_trace,2,0.9385,0.2203,0.4797,0.9252,0.3272,0.0
visible_effect,83,delayed_reward_td,10,0.9638,0.3414,4.4952,0.3739,0.0162,1.0
visible_effect,83,dense_shaping,10,0.9638,0.3414,2.8399,0.5019,0.1194,0.55
visible_effect,83,effect_trace,10,0.9638,0.3414,0.7955,0.9209,0.3093,0.0
visible_effect,84,delayed_reward_td,6,0.9034,0.3261,3.2734,0.359,0.0463,1.0
visible_effect,84,dense_shaping,6,0.9034,0.3261,2.1858,0.4782,0.1497,0.55
visible_effect,84,effect_trace,6,0.9034,0.3261,0.7023,0.8798,0.3121,0.0
visible_effect,85,delayed_reward_td,11,0.7759,0.4271,4.886,0.2993,-0.0136,1.0
visible_effect,85,dense_shaping,11,0.7759,0.4271,3.1529,0.4488,0.0669,0.55
visible_effect,85,effect_trace,11,0.7759,0.4271,1.1141,0.8707,0.2919,0.0
visible_effect,86,delayed_reward_td,2,0.882,0.1637,1.9989,0.4719,0.0841,1.0
visible_effect,86,dense_shaping,2,0.882,0.1637,1.132,0.5393,0.1493,0.55
visible_effect,86,effect_trace,2,0.882,0.1637,0.3897,0.9158,0.3344,0.0
visible_effect,87,delayed_reward_td,4,0.7134,0.0935,2.6166,0.3944,0.0891,1.0
visible_effect,87,dense_shaping,4,0.7134,0.0935,1.5011,0.5363,0.1455,0.55
visible_effect,87,effect_trace,4,0.7134,0.0935,0.5718,0.9303,0.3256,0.0
visible_effect,88,delayed_reward_td,6,0.8529,0.2808,3.1877,0.4224,0.046,1.0
visible_effect,88,dense_shaping,6,0.8529,0.2808,1.9041,0.5112,0.1356,0.55
visible_effect,88,effect_trace,6,0.8529,0.2808,0.675,0.8979,0.3409,0.0
visible_effect,89,delayed_reward_td,5,0.8618,0.3167,2.9974,0.4037,0.0724,1.0
visible_effect,89,dense_shaping,5,0.8618,0.3167,1.8251,0.4661,0.1488,0.55
visible_effect,89,effect_trace,5,0.8618,0.3167,0.6838,0.9424,0.3459,0.0
visible_effect,90,delayed_reward_td,9,0.7992,0.3067,4.1391,0.3197,0.0422,1.0
visible_effect,90,dense_shaping,9,0.7992,0.3067,2.5986,0.4671,0.1632,0.55
visible_effect,90,effect_trace,9,0.7992,0.3067,0.9267,0.8485,0.3101,0.0
visible_effect,91,delayed_reward_td,10,0.9628,0.0744,4.3384,0.3396,0.017,1.0
visible_effect,91,dense_shaping,10,0.9628,0.0744,2.5689,0.5813,0.1535,0.55
visible_effect,91,effect_trace,10,0.9628,0.0744,0.8775,0.9316,0.3256,0.0
visible_effect,92,delayed_reward_td,4,0.8377,0.2163,2.5483,0.442,0.0755,1.0
visible_effect,92,dense_shaping,4,0.8377,0.2163,1.6739,0.5226,0.1389,0.55
visible_effect,92,effect_trace,4,0.8377,0.2163,0.615,0.9133,0.335,0.0
visible_effect,93,delayed_reward_td,11,0.7494,0.2335,4.7369,0.3346,0.0102,1.0
visible_effect,93,dense_shaping,11,0.7494,0.2335,2.93,0.4671,0.11,0.55
visible_effect,93,effect_trace,11,0.7494,0.2335,1.0551,0.8536,0.2838,0.0
visible_effect,94,delayed_reward_td,10,0.8757,0.0853,4.4777,0.3572,-0.0348,1.0
visible_effect,94,dense_shaping,10,0.8757,0.0853,2.5694,0.5271,0.1658,0.55
visible_effect,94,effect_trace,10,0.8757,0.0853,0.8463,0.8887,0.298,0.0
visible_effect,95,delayed_reward_td,5,0.98,0.02,2.8224,0.4043,0.0695,1.0
visible_effect,95,dense_shaping,5,0.98,0.02,1.552,0.5922,0.2,0.55
visible_effect,95,effect_trace,5,0.98,0.02,0.508,0.9474,0.3271,0.0
visible_effect,96,delayed_reward_td,2,0.9149,0.1759,2.028,0.4124,0.1076,1.0
visible_effect,96,dense_shaping,2,0.9149,0.1759,1.1008,0.5477,0.2159,0.55
visible_effect,96,effect_trace,2,0.9149,0.1759,0.488,0.9398,0.3314,0.0
visible_effect,97,delayed_reward_td,6,0.7947,0.1145,3.0941,0.3987,0.0736,1.0
visible_effect,97,dense_shaping,6,0.7947,0.1145,1.9005,0.5421,0.1365,0.55
visible_effect,97,effect_trace,6,0.7947,0.1145,0.685,0.8547,0.3344,0.0
visible_effect,98,delayed_reward_td,3,0.9644,0.1029,2.3095,0.4356,0.0807,1.0
visible_effect,98,dense_shaping,3,0.9644,0.1029,1.3365,0.5525,0.1493,0.55
visible_effect,98,effect_trace,3,0.9644,0.1029,0.4731,0.9278,0.3375,0.0
visible_effect,99,delayed_reward_td,5,0.7473,0.1525,2.9527,0.4082,0.0712,1.0
visible_effect,99,dense_shaping,5,0.7473,0.1525,1.7238,0.5233,0.172,0.55
visible_effect,99,effect_trace,5,0.7473,0.1525,0.6808,0.8444,0.3153,0.0
visible_effect,100,delayed_reward_td,3,0.798,0.0784,2.309,0.3802,0.1185,1.0
visible_effect,100,dense_shaping,3,0.798,0.0784,1.2532,0.5606,0.1746,0.55
visible_effect,100,effect_trace,3,0.798,0.0784,0.5595,0.9321,0.3418,0.0
